service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
feed_0_12228058_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12228060_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12228111_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12228113_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12240925_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12240936_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12240938_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12240941_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12240942_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12248027_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12248028_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12248454_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12248456_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12248458_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12248462_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12248476_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12248478_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12248480_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12248482_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12248485_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12248486_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12248488_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
