transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,217.0,feed_0_1666,
2,207.0,feed_0_1666,
2,207.0,feed_0_1666,
2,218.0,feed_0_1666,
2,220.0,feed_0_1666,feed_0_3893422
2,194.0,feed_0_1666,feed_0_3893423
2,194.0,feed_0_1666,
2,226.0,feed_0_1666,feed_0_4009666
2,207.0,feed_0_1666,
2,226.0,feed_0_1666,
2,226.0,feed_0_1666,
2,194.0,feed_0_1666,
2,207.0,feed_0_1667,
2,218.0,feed_0_1667,
2,220.0,feed_0_1667,feed_0_3893422
2,194.0,feed_0_1667,feed_0_3893423
2,226.0,feed_0_1667,
2,226.0,feed_0_1667,
2,194.0,feed_0_1667,
2,206.0,feed_0_1668,
2,262.0,feed_0_1668,
2,206.0,feed_0_1668,
2,262.0,feed_0_1668,
2,227.0,feed_0_1669,feed_0_3687097
2,198.0,feed_0_1669,feed_0_3687098
2,279.0,feed_0_1669,
2,227.0,feed_0_1669,
2,196.0,feed_0_1669,
2,204.0,feed_0_1669,
2,204.0,feed_0_1669,
2,238.0,feed_0_1670,feed_0_4035021
2,238.0,feed_0_1670,
2,238.0,feed_0_1670,
2,238.0,feed_0_1670,
2,243.0,feed_0_1671,feed_0_3730101
2,188.0,feed_0_1671,feed_0_3730102
2,310.0,feed_0_1671,
2,234.0,feed_0_1671,
2,180.0,feed_0_1672,feed_0_1729
2,300.0,feed_0_1672,feed_0_1977
2,300.0,feed_0_1672,
2,180.0,feed_0_1672,
2,215.0,feed_0_1672,feed_0_3687426
2,235.0,feed_0_1672,feed_0_3687471
2,277.0,feed_0_1672,feed_0_3716885
2,240.0,feed_0_1672,feed_0_3716886
2,261.0,feed_0_1672,feed_0_3716935
2,153.0,feed_0_1672,feed_0_3748046
2,215.0,feed_0_1672,feed_0_3764619
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,153.0,feed_0_1672,
2,153.0,feed_0_1672,
2,277.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,261.0,feed_0_1672,
2,231.0,feed_0_1672,feed_0_4036770
2,240.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,261.0,feed_0_1672,
2,215.0,feed_0_1672,
2,231.0,feed_0_1672,
2,240.0,feed_0_1672,
2,215.0,feed_0_1672,
2,261.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,231.0,feed_0_1672,
2,240.0,feed_0_1672,
2,231.0,feed_0_1672,
2,240.0,feed_0_1672,
2,261.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,215.0,feed_0_1672,
2,231.0,feed_0_1672,
2,240.0,feed_0_1672,
2,111.0,feed_0_1675,feed_0_1674
2,110.0,feed_0_1675,feed_0_1676
2,120.0,feed_0_1675,
2,104.0,feed_0_1675,
2,279.0,feed_0_1675,feed_0_4035806
2,267.0,feed_0_1675,feed_0_4035807
2,207.0,feed_0_1675,feed_0_4035808
2,196.0,feed_0_1675,feed_0_4035809
2,236.0,feed_0_1676,feed_0_1674
2,247.0,feed_0_1676,
